YEAR,QY,     PY,     QK,     PK,     QL,     PL,     QE,     PE,     QM,     PM
47,196.205,1,9.313,1,45.0961,1,7.75697,1,120.207,1
48,182.829,1.07863,10.6264,1.0027,43.9693,1.15457,7.20873,1.30259,106.468,1.05526
49,191.077,1.06385,11.5423,0.74371,41.8166,1.15584,7.91134,1.19663,113.107,1.06225
50,217.532,1.08832,11.9624,0.92497,44.4985,1.23535,8.40976,1.21442,129.378,1.1243
51,235.289,1.18774,12.2972,1.04877,48.7602,1.33784,9.16439,1.2518,136.689,1.21694
52,244.086,1.17562,13.045,0.99744,51.1402,1.37949,9.22766,1.27919,141.135,1.19961
53,269.111,1.17047,13.6777,1.00654,54.4577,1.43458,9.97689,1.27505,156.706,1.19044
54,247.312,1.19028,14.2198,1.08757,51.2944,1.45362,10.0785,1.30357,142.018,1.20612
55,277.789,1.20801,14.7225,1.10315,54.0984,1.51121,10.392,1.34277,159.05,1.23835
56,281.382,1.26104,15.1736,0.99607,55.7854,1.58187,10.9519,1.37155,162.295,1.29336
57,282.153,1.2925,16.0311,1.06321,55.9122,1.64641,11.8274,1.3801,163.127,1.30703
58,262.425,1.3085,16.8214,1.15619,52.6973,1.67389,11.2209,1.39338,150.735,1.327
59,291.418,1.31595,16.9557,1.30758,56.4288,1.7343,11.9592,1.36756,169.792,1.30774
60,296.644,1.32115,16.9042,1.25413,56.9827,1.7828,12.1651,1.38025,169.226,1.33946
61,297,1.31688,17.1108,1.26329,56.0163,1.81977,12.3453,1.37631,167.971,1.34319
62,320.884,1.31614,17.2227,1.26525,58.5997,1.88531,12.8529,1.37689,178.634,1.34745
63,337.855,1.32046,17.4505,1.32294,59.6128,1.93379,13.674,1.34737,191.822,1.33144
64,359.146,1.31636,17.8079,1.32798,61.1658,2.00998,13.7081,1.38969,198.323,1.35197
65,389.238,1.33311,18.4595,1.40659,64.6947,2.05539,14.0946,1.38635,215.563,1.37543
66,417.185,1.36546,19.6165,1.451,69.2726,2.13441,14.9341,1.40102,228.398,1.41879
67,425.702,1.37926,21.2163,1.38618,70.161,2.20617,15.815,1.39197,234.596,1.42428
68,451.21,1.40634,22.4894,1.49901,72.3024,2.33869,16.2118,1.43389,250.484,1.43481
69,466.83,1.44714,23.5281,1.44957,74.2756,2.46412,17.0568,1.46481,253.226,1.53356
70,446.71,1.48518,24.7325,1.32465,71.2039,2.60532,18.5782,1.45907,244.296,1.54758
71,457.986,1.54016,25.6062,1.20178,68.9305,2.76026,17.9034,1.64689,263.076,1.54979
